Experiment,TSO,precise_exceptions,double_lsq,ROI_Time(s)
blackscholes,False,False,False,0.000282
blackscholes,True,False,False,0.000281
swaptions,False,False,False,0.001397
swaptions,True,False,False,0.002189
canneal,False,False,False,0.000274
canneal,True,False,False,0.000276
fluidanimate,False,False,False,0.030398
fluidanimate,True,False,False,0.031634
ferret,False,False,False,0.019476
ferret,True,False,False,0.020425
fft,False,False,False,0.000364
fft,True,False,False,0.000413
blackscholes,True,False,True,0.000266
swaptions,True,False,True,0.002123
canneal,True,False,True,0.000272
fluidanimate,True,False,True,0.031132
ferret,True,False,True,0.019224
fft,True,False,True,0.000363
blackscholes,False,True,False,0.000288
blackscholes,True,True,False,0.000288
swaptions,False,True,False,0.002426
swaptions,True,True,False,0.002426
canneal,False,True,False,0.000310
canneal,True,True,False,0.000310
fluidanimate,False,True,False,0.042641
fluidanimate,True,True,False,0.042641
ferret,False,True,False,0.023051
ferret,True,True,False,0.023051
fft,False,True,False,0.000500
fft,True,True,False,0.000500
blackscholes,True,True,True,0.000288
swaptions,True,True,True,0.002393
canneal,True,True,True,0.000299
fluidanimate,True,True,True,0.042111
ferret,True,True,True,0.022223
fft,True,True,True,0.000458
