latency,fault_prob,handler,simSeconds,simInsts,totalWrites,faultCount
160ns,0,1us,0.000538,1139932.0,,
160ns,0.01,1us,0.000653,1139932.0,9056.0,138.0
160ns,0.05,1us,0.00101,1139932.0,9063.0,719.0
160ns,0.1,1us,0.001299,1139932.0,9071.0,1437.0
160ns,0.5,1us,0.002124,1139932.0,9071.0,7119.0
160ns,1e-3,1us,0.000554,1139932.0,9061.0,18.0
160ns,1e-4,1us,0.000542,1139932.0,9061.0,3.0
160ns,0,20us,0.000538,1139932.0,,
160ns,0.01,20us,0.003102,1139932.0,9054.0,138.0
160ns,0.05,20us,0.011049,1139932.0,9063.0,719.0
160ns,0.1,20us,0.017349,1139932.0,9083.0,1437.0
160ns,0.5,20us,0.03469,1139932.0,9071.0,7119.0
160ns,1e-3,20us,0.000894,1139932.0,9061.0,18.0
160ns,1e-4,20us,0.000599,1139932.0,9061.0,3.0
160ns,0,5us,0.000538,1139932.0,,
160ns,0.01,5us,0.001167,1139932.0,9056.0,138.0
160ns,0.05,5us,0.003114,1139932.0,9063.0,719.0
160ns,0.1,5us,0.004674,1139932.0,9083.0,1437.0
160ns,0.5,5us,0.00898,1139932.0,9071.0,7119.0
160ns,1e-3,5us,0.000624,1139932.0,9061.0,18.0
160ns,1e-4,5us,0.000554,1139932.0,9061.0,3.0
300ns,0,1us,0.000713,1139932.0,,
300ns,0.01,1us,0.000835,1139932.0,9056.0,138.0
300ns,0.05,1us,0.001215,1139932.0,9063.0,719.0
300ns,0.1,1us,0.001517,1139932.0,9082.0,1436.0
300ns,0.5,1us,0.002413,1139932.0,9064.0,7118.0
300ns,1e-3,1us,0.00073,1139932.0,9061.0,18.0
300ns,1e-4,1us,0.000717,1139932.0,9061.0,3.0
300ns,0,20us,0.000713,1139932.0,,
300ns,0.01,20us,0.003281,1139932.0,9054.0,138.0
300ns,0.05,20us,0.011243,1139932.0,9063.0,719.0
300ns,0.1,20us,0.017608,1139932.0,9082.0,1437.0
300ns,0.5,20us,0.034969,1139932.0,9071.0,7119.0
300ns,1e-3,20us,0.001067,1139932.0,9061.0,18.0
300ns,1e-4,20us,0.000774,1139932.0,9061.0,3.0
300ns,0,5us,0.000713,1139932.0,,
300ns,0.01,5us,0.001346,1139932.0,9056.0,138.0
300ns,0.05,5us,0.003324,1139932.0,9063.0,719.0
300ns,0.1,5us,0.004959,1139932.0,9071.0,1436.0
300ns,0.5,5us,0.009259,1139932.0,9071.0,7119.0
300ns,1e-3,5us,0.000798,1139932.0,9061.0,18.0
300ns,1e-4,5us,0.000729,1139932.0,9061.0,3.0
40ns,0,1us,0.00044,1139932.0,,
40ns,0.01,1us,0.000544,1139932.0,9056.0,138.0
40ns,0.05,1us,0.000857,1139932.0,9055.0,719.0
40ns,0.1,1us,0.001128,1139932.0,9083.0,1437.0
40ns,0.5,1us,0.001891,1139932.0,9063.0,7116.0
40ns,1e-3,1us,0.000454,1139932.0,9061.0,18.0
40ns,1e-4,1us,0.000443,1139932.0,9061.0,3.0
40ns,0,20us,0.00044,1139932.0,,
40ns,0.01,20us,0.002995,1139932.0,9054.0,138.0
40ns,0.05,20us,0.010794,1139932.0,9055.0,719.0
40ns,0.1,20us,0.01722,1139932.0,9083.0,1437.0
40ns,0.5,20us,0.034514,1139932.0,9063.0,7116.0
40ns,1e-3,20us,0.000796,1139932.0,9061.0,18.0
40ns,1e-4,20us,0.0005,1139932.0,9061.0,3.0
40ns,0,5us,0.00044,1139932.0,,
40ns,0.01,5us,0.00106,1139932.0,9054.0,138.0
40ns,0.05,5us,0.002949,1139932.0,9055.0,719.0
40ns,0.1,5us,0.004515,1139932.0,9083.0,1437.0
40ns,0.5,5us,0.008759,1139932.0,9063.0,7116.0
40ns,1e-3,5us,0.000526,1139932.0,9061.0,18.0
40ns,1e-4,5us,0.000455,1139932.0,9061.0,3.0
