isa,sq_size,lq_size,write_ratio,total_mops_per_s,TSO,precise_exceptions
ARM,8,8,0,27.481,True,False
ARM,16,16,0,38.591,True,False
ARM,32,32,0,38.591,True,False
ARM,64,64,0,38.591,True,False
ARM,128,128,0,38.591,True,False
ARM,8,8,0,27.481,False,False
ARM,16,16,0,38.591,False,False
ARM,32,32,0,38.591,False,False
ARM,64,64,0,38.591,False,False
ARM,128,128,0,38.591,False,False
ARM,8,8,100,3.916,True,False
ARM,16,16,100,3.916,True,False
ARM,32,32,100,3.916,True,False
ARM,64,64,100,3.916,True,False
ARM,128,128,100,3.916,True,False
ARM,8,8,100,27.695,False,False
ARM,16,16,100,48.433,False,False
ARM,32,32,100,48.675,False,False
ARM,64,64,100,48.675,False,False
ARM,128,128,100,48.675,False,False
ARM,8,8,50,13.728,True,False
ARM,16,16,50,14.745,True,False
ARM,32,32,50,14.913,True,False
ARM,64,64,50,14.838,True,False
ARM,128,128,50,12.899,True,False
ARM,8,8,50,21.851,False,False
ARM,16,16,50,32.09,False,False
ARM,32,32,50,35.424,False,False
ARM,64,64,50,35.424,False,False
ARM,128,128,50,35.424,False,False
ARM,8,8,25,26.769,True,False
ARM,16,16,25,34.543,True,False
ARM,32,32,25,36.727,True,False
ARM,64,64,25,36.916,True,False
ARM,128,128,25,36.916,True,False
ARM,8,8,25,27.259,False,False
ARM,16,16,25,35.665,False,False
ARM,32,32,25,36.973,False,False
ARM,64,64,25,36.973,False,False
ARM,128,128,25,36.973,False,False
ARM,8,8,75,5.829,True,False
ARM,16,16,75,5.831,True,False
ARM,32,32,75,5.832,True,False
ARM,64,64,75,5.833,True,False
ARM,128,128,75,5.79,True,False
ARM,8,8,75,21.161,False,False
ARM,16,16,75,32.497,False,False
ARM,32,32,75,36.625,False,False
ARM,64,64,75,36.619,False,False
ARM,128,128,75,36.619,False,False
ARM,8,8,0,27.447,True,True
ARM,16,16,0,38.401,True,True
ARM,32,32,0,38.401,True,True
ARM,64,64,0,38.401,True,True
ARM,128,128,0,38.401,True,True
ARM,8,8,0,27.447,False,True
ARM,16,16,0,38.401,False,True
ARM,32,32,0,38.401,False,True
ARM,64,64,0,38.401,False,True
ARM,128,128,0,38.401,False,True
ARM,8,8,100,3.9,True,True
ARM,16,16,100,3.9,True,True
ARM,32,32,100,3.9,True,True
ARM,64,64,100,3.9,True,True
ARM,128,128,100,3.9,True,True
ARM,8,8,100,3.9,False,True
ARM,16,16,100,3.9,False,True
ARM,32,32,100,3.9,False,True
ARM,64,64,100,3.9,False,True
ARM,128,128,100,3.9,False,True
ARM,8,8,50,13.42,True,True
ARM,16,16,50,13.671,True,True
ARM,32,32,50,13.671,True,True
ARM,64,64,50,13.671,True,True
ARM,128,128,50,13.671,True,True
ARM,8,8,50,13.42,False,True
ARM,16,16,50,13.671,False,True
ARM,32,32,50,13.671,False,True
ARM,64,64,50,13.671,False,True
ARM,128,128,50,13.671,False,True
ARM,8,8,25,26.628,True,True
ARM,16,16,25,31.486,True,True
ARM,32,32,25,31.486,True,True
ARM,64,64,25,31.486,True,True
ARM,128,128,25,31.486,True,True
ARM,8,8,25,26.628,False,True
ARM,16,16,25,31.486,False,True
ARM,32,32,25,31.486,False,True
ARM,64,64,25,31.486,False,True
ARM,128,128,25,31.486,False,True
ARM,8,8,75,5.829,True,True
ARM,16,16,75,5.829,True,True
ARM,32,32,75,5.829,True,True
ARM,64,64,75,5.829,True,True
ARM,128,128,75,5.829,True,True
ARM,8,8,75,5.829,False,True
ARM,16,16,75,5.829,False,True
ARM,32,32,75,5.829,False,True
ARM,64,64,75,5.829,False,True
ARM,128,128,75,5.829,False,True
